entity_id,nucleus,label,sublabel,lens_id,translator_version
discogs:2024570,2024570,Liege & Lief,Fairport Convention · 1969,discogs_v1,1.0.0
discogs:743546,743546,Indiscreet,Sparks · 1975,discogs_v1,1.0.0
discogs:33059832,33059832,This Wasn't Meant For You Anyway,Lola Young · 2025,discogs_v1,1.0.0
discogs:35136815,35136815,I'm Only F**king Myself,Lola Young · 2025,discogs_v1,1.0.0
discogs:1734063,1734063,Full House,Fairport Convention · 1970,discogs_v1,1.0.0
discogs:1993680,1993680,Rising For The Moon,Fairport Convention · 1975,discogs_v1,1.0.0
discogs:33401849,33401849,Lonesome Drifter,Charley Crockett · 2025,discogs_v1,1.0.0
discogs:13968158,13968158,Lungs,Florence And The Machine · 2019,discogs_v1,1.0.0
discogs:32107221,32107221,The Complete James Brown Christmas,James Brown · 2024,discogs_v1,1.0.0
discogs:27937461,27937461,Struttin',The Meters · 2023,discogs_v1,1.0.0
discogs:1361007,1361007,"For Emma, Forever Ago",Bon Iver · 2008,discogs_v1,1.0.0
discogs:5374725,5374725,Burn Your Fire For No Witness,Angel Olsen · 2014,discogs_v1,1.0.0
discogs:33659028,33659028,"Sable, Fable",Bon Iver · 2025,discogs_v1,1.0.0
discogs:36957222,36957222,Volumes: One - Selections From Music Concerts 2019-2023 Bon Iver 6 Piece Band,Bon Iver · 2026,discogs_v1,1.0.0
discogs:767050,767050,The Early Years,Al Stewart · 1977,discogs_v1,1.0.0
discogs:3120128,3120128,Year Of The Cat,Al Stewart · 1976,discogs_v1,1.0.0
discogs:32463546,32463546,The Golden Hour,Various · 2024,discogs_v1,1.0.0
discogs:16279882,16279882,Orange Sunset,Various · 2020,discogs_v1,1.0.0
discogs:40753,40753,Waltz For Koop,Koop · 2002,discogs_v1,1.0.0
discogs:4411658,4411658,24 Country & Western Greats Vol. 6,Various · 1972,discogs_v1,1.0.0
discogs:1992362,1992362,The Living Legend,Bob Wills · 1969,discogs_v1,1.0.0
discogs:35142575,35142575,Next,Kendra Morris · 2025,discogs_v1,1.0.0
discogs:32395767,32395767,The Celestial Suite,Pale Jay · 2024,discogs_v1,1.0.0
discogs:32232705,32232705,Either / Or,Elliott Smith · 2024,discogs_v1,1.0.0
discogs:1376983,1376983,Super Bad,James Brown · 1971,discogs_v1,1.0.0
discogs:16061336,16061336,Takk...,Sigur Rós · 2020,discogs_v1,1.0.0
discogs:609020,609020,Anything Goes,Ron Carter · 1975,discogs_v1,1.0.0
discogs:19224334,19224334,Vincent Neil Emerson,Vincent Neil Emerson · 2021,discogs_v1,1.0.0
discogs:27668589,27668589,Little Songs,Colter Wall · 2023,discogs_v1,1.0.0
discogs:31767260,31767260,Fried Chicken And Evil Women,Vincent Neil Emerson · 2024,discogs_v1,1.0.0
discogs:20096806,20096806,No Code,Pearl Jam · 2021,discogs_v1,1.0.0
discogs:13988431,13988431,"International Hotel Las Vegas, Nevada August 26, 1969",Elvis Presley · 2019,discogs_v1,1.0.0
discogs:5414159,5414159,A Living Legend,Bob Wills & Tommy Duncan With The Texas Playboys · 1961,discogs_v1,1.0.0
discogs:1839420,1839420,The Best Of Martin Denny,Martin Denny · 1961,discogs_v1,1.0.0
discogs:11194748,11194748,Kites Are Fun,The Free Design · 2017,discogs_v1,1.0.0
discogs:3794218,3794218,Country Funk 1969-1975,Various · 2012,discogs_v1,1.0.0
discogs:19695823,19695823,Country Funk III 1975-1982,Various · 2021,discogs_v1,1.0.0
discogs:15095789,15095789,Stone Crush (Memphis Modern Soul 1977-1987),Various · 2020,discogs_v1,1.0.0
discogs:23508005,23508005,Nancy & Lee,Nancy Sinatra & Lee Hazlewood · 2022,discogs_v1,1.0.0
discogs:26269073,26269073,"Pacific Breeze 3: Japanese City Pop, AOR And Boogie 1975-1987",Various · 2023,discogs_v1,1.0.0
discogs:30355625,30355625,Room 41,Paul Cauthen · 2024,discogs_v1,1.0.0
discogs:244825,244825,Nuggets - Luke Vibert's Selection,Luke Vibert · 2001,discogs_v1,1.0.0
discogs:16573203,16573203,Perfectly Imperfect At The Ryman,Margo Price · 2020,discogs_v1,1.0.0
discogs:25811092,25811092,Strays,Margo Price · 2023,discogs_v1,1.0.0
discogs:29010217,29010217,Strays: Live At Grimey's,Margo Price · 2023,discogs_v1,1.0.0
discogs:34949144,34949144,Hard Headed Woman,Margo Price · 2025,discogs_v1,1.0.0
discogs:15846460,15846460,That's How Rumors Get Started,Margo Price · 2020,discogs_v1,1.0.0
discogs:31818530,31818530,Rhinestoned,Maggie Antone · 2024,discogs_v1,1.0.0
discogs:518490,518490,Inspiration Information,Shuggie Otis · 2001,discogs_v1,1.0.0
discogs:5353903,5353903,Havana At 2 A.M.,Jose Madeira And His Orchestra / Carlos Montoya · 1957,discogs_v1,1.0.0
discogs:6158352,6158352,If You're Feeling Sinister,Belle & Sebastian · 2014,discogs_v1,1.0.0
discogs:28274428,28274428,Electric Version,The New Pornographers · 2023,discogs_v1,1.0.0
discogs:11960013,11960013,Golden Hour,Kacey Musgraves · 2018,discogs_v1,1.0.0
discogs:31814138,31814138,When I Think Of Christmas,Amy Grant & Vince Gill · 2024,discogs_v1,1.0.0
discogs:16012137,16012137,The Kacey Musgraves Christmas Show,Kacey Musgraves · 2020,discogs_v1,1.0.0
discogs:17664133,17664133,Rhythm Country And Blues,Various · 2021,discogs_v1,1.0.0
discogs:304952,304952,The Private Press,DJ Shadow · 2002,discogs_v1,1.0.0
discogs:1205156,1205156,Very Together,Eumir Deodato · 1976,discogs_v1,1.0.0
discogs:991243,991243,Louisiana Woman-Mississippi Man,Conway Twitty & Loretta Lynn · 1973,discogs_v1,1.0.0
discogs:4330664,4330664,Merry Christmas,Bing Crosby · 1980,discogs_v1,1.0.0
discogs:1512399,1512399,His 12 Greatest Hits,Neil Diamond · 1974,discogs_v1,1.0.0
discogs:2021852,2021852,It's A Good Night For Singin',Jerry Jeff Walker · 1977,discogs_v1,1.0.0
discogs:2404653,2404653,Entertainer Of The Year - Loretta,Loretta Lynn · 1973,discogs_v1,1.0.0
discogs:15681780,15681780,Loretta,Loretta Lynn · 1980,discogs_v1,1.0.0
discogs:3562423,3562423,Loretta,Loretta Lynn · 1980,discogs_v1,1.0.0
discogs:1153596,1153596,Whirlwinds,Eumir Deodato · 1974,discogs_v1,1.0.0
discogs:3318568,3318568,Back To The Country,Loretta Lynn · 1975,discogs_v1,1.0.0
discogs:594434,594434,Inherit The Wind,Wilton Felder · 1980,discogs_v1,1.0.0
discogs:35550985,35550985,Cherry Valley,Carter Faith · 2025,discogs_v1,1.0.0
discogs:901735,901735,Sorcerer,Tangerine Dream · 1977,discogs_v1,1.0.0
discogs:4155266,4155266,Steel Guitars Of The Grand Ole Opry,"Sonny Burnette, Hal Rugg, Weldon Myrick · 1975",discogs_v1,1.0.0
discogs:377464,377464,Ride The Lightning,Metallica · 1984,discogs_v1,1.0.0
discogs:1644515,1644515,Archives,Rush · 1978,discogs_v1,1.0.0
discogs:814617,814617,2112,Rush · 1976,discogs_v1,1.0.0
